epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.843,1.27211,1.75225,1.51156,0.32091,0.42963,0.31821,0.17651,2.21114,2.51169,2.15264,0.000471372,0.000471372,0.000471372
2,197.717,1.10604,0.98364,1.3465,0.72962,0.51626,0.52653,0.3476,1.2596,5.47872,1.78693,0.000938323,0.000938323,0.000938323
3,276.803,1.06109,0.89868,1.31216,0.72223,0.69666,0.76893,0.5839,0.91922,2.80749,1.22876,0.00139584,0.00139584,0.00139584
4,353.795,1.05793,0.88014,1.30216,0.70346,0.41444,0.44745,0.35944,1.14106,2.24992,1.43696,0.00138656,0.00138656,0.00138656
5,430.326,0.98201,0.7878,1.25124,0.72449,0.82444,0.79957,0.64055,0.83625,1.0812,1.17342,0.00137241,0.00137241,0.00137241
6,507.584,0.94662,0.71009,1.22365,0.79267,0.76449,0.82583,0.61858,0.90726,1.49832,1.33422,0.00135826,0.00135826,0.00135826
7,584.139,0.93211,0.6983,1.2199,0.95845,0.93938,0.98736,0.79707,0.82944,0.50672,1.13436,0.00134412,0.00134412,0.00134412
8,661.719,0.88189,0.6452,1.17929,0.9638,0.99027,0.995,0.8275,0.68659,0.45552,1.04361,0.00132997,0.00132997,0.00132997
9,739.589,0.8761,0.64319,1.17744,0.96358,1,0.995,0.7901,0.84523,0.47509,1.1456,0.00131582,0.00131582,0.00131582
10,816.457,0.82854,0.59863,1.15428,0.9447,0.96249,0.97731,0.78313,0.81787,0.62526,1.13759,0.00130168,0.00130168,0.00130168
11,892.376,0.83151,0.57317,1.14256,0.93156,0.92405,0.97198,0.74042,0.97585,0.56833,1.21603,0.00128753,0.00128753,0.00128753
12,968.301,0.83,0.56918,1.14107,0.89368,0.92722,0.97639,0.83165,0.67384,0.46235,1.0224,0.00127338,0.00127338,0.00127338
13,1046.02,0.79362,0.54873,1.11424,0.98667,1,0.995,0.84835,0.66803,0.35738,1.01421,0.00125923,0.00125923,0.00125923
14,1123.51,0.79831,0.54803,1.12202,0.92258,0.99593,0.99265,0.81653,0.76295,0.44668,1.07039,0.00124509,0.00124509,0.00124509
15,1199.42,0.77752,0.53961,1.11188,0.96367,0.95556,0.99229,0.8513,0.60307,0.3908,0.97586,0.00123094,0.00123094,0.00123094
16,1276.18,0.79252,0.54324,1.11622,0.99341,1,0.995,0.84831,0.66503,0.32551,1.00599,0.00121679,0.00121679,0.00121679
17,1352.94,0.76434,0.51623,1.10229,0.99464,1,0.995,0.82369,0.72526,0.32968,1.04208,0.00120265,0.00120265,0.00120265
18,1428.61,0.76145,0.49126,1.10482,0.99065,0.99771,0.995,0.83335,0.65481,0.33563,1.01665,0.0011885,0.0011885,0.0011885
19,1504.53,0.73237,0.48384,1.06964,0.96321,0.98016,0.995,0.87182,0.62814,0.34483,0.98604,0.00117435,0.00117435,0.00117435
20,1581.17,0.75354,0.49396,1.09666,0.98682,1,0.995,0.83855,0.69264,0.33617,1.00958,0.00116021,0.00116021,0.00116021
21,1657.94,0.72459,0.49012,1.08213,0.99387,1,0.995,0.87197,0.64548,0.3172,0.99035,0.00114606,0.00114606,0.00114606
22,1735.64,0.71086,0.46342,1.06609,0.99446,1,0.995,0.86473,0.59794,0.28637,0.96222,0.00113191,0.00113191,0.00113191
23,1811.53,0.72045,0.46964,1.07455,0.99004,1,0.995,0.86954,0.59758,0.28586,0.9911,0.00111776,0.00111776,0.00111776
24,1887.63,0.70655,0.46563,1.06607,0.99284,1,0.995,0.81722,0.75415,0.33408,1.06133,0.00110362,0.00110362,0.00110362
25,1963.97,0.69188,0.46666,1.04701,0.99405,1,0.995,0.90514,0.56533,0.27306,0.95274,0.00108947,0.00108947,0.00108947
26,2041.57,0.69522,0.43788,1.06026,0.9945,1,0.995,0.84653,0.73162,0.31109,1.02793,0.00107532,0.00107532,0.00107532
27,2116.82,0.69763,0.45635,1.06065,0.99047,1,0.995,0.85479,0.64209,0.29417,0.98946,0.00106118,0.00106118,0.00106118
28,2192.82,0.70701,0.45556,1.06381,0.98748,1,0.995,0.88491,0.58361,0.27778,0.95753,0.00104703,0.00104703,0.00104703
29,2268.83,0.68195,0.44483,1.05679,0.96063,1,0.995,0.84877,0.67758,0.32614,1.00096,0.00103288,0.00103288,0.00103288
30,2345.34,0.67694,0.45615,1.05053,0.98906,1,0.995,0.86128,0.63769,0.29894,0.98992,0.00101873,0.00101873,0.00101873
31,2421.68,0.67782,0.43987,1.04897,0.99035,1,0.995,0.8664,0.63352,0.28123,0.9919,0.00100459,0.00100459,0.00100459
32,2497.36,0.67205,0.43543,1.04962,0.99586,1,0.995,0.8819,0.57873,0.26526,0.95593,0.00099044,0.00099044,0.00099044
33,2573.51,0.67387,0.42906,1.04551,0.99354,1,0.995,0.86128,0.65115,0.28149,0.99738,0.000976293,0.000976293,0.000976293
34,2649.48,0.67855,0.4229,1.04268,0.99398,1,0.995,0.88027,0.56188,0.25216,0.93405,0.000962146,0.000962146,0.000962146
35,2725.32,0.6853,0.43063,1.05207,0.99255,1,0.995,0.87903,0.59857,0.26264,0.95045,0.000947999,0.000947999,0.000947999
36,2801.91,0.65574,0.405,1.0345,0.99439,1,0.995,0.86355,0.64628,0.2598,0.98015,0.000933851,0.000933851,0.000933851
37,2877.86,0.62754,0.40815,1.01657,0.99515,1,0.995,0.8795,0.57381,0.26461,0.95098,0.000919704,0.000919704,0.000919704
38,2953.75,0.64288,0.40436,1.02828,0.99616,1,0.995,0.86718,0.63751,0.28249,0.97084,0.000905557,0.000905557,0.000905557
39,3030.19,0.64884,0.4204,1.03197,0.99555,1,0.995,0.88185,0.6019,0.25668,0.96725,0.00089141,0.00089141,0.00089141
40,3107.03,0.63211,0.39452,1.032,0.99573,1,0.995,0.87021,0.58816,0.27443,0.94517,0.000877263,0.000877263,0.000877263
41,3183.34,0.63883,0.39966,1.03319,0.99554,1,0.995,0.86974,0.59368,0.25209,0.94777,0.000863116,0.000863116,0.000863116
42,3259.96,0.62166,0.40708,1.01888,0.9949,1,0.995,0.87847,0.59378,0.24705,0.94149,0.000848969,0.000848969,0.000848969
43,3336.06,0.6159,0.38524,1.02073,0.99491,1,0.995,0.89174,0.57026,0.24338,0.93751,0.000834822,0.000834822,0.000834822
44,3412.19,0.62555,0.37553,1.02015,0.98367,1,0.995,0.88448,0.57739,0.25587,0.94607,0.000820675,0.000820675,0.000820675
45,3488.17,0.63331,0.39525,1.01912,0.98541,0.99741,0.995,0.87386,0.60185,0.26953,0.94554,0.000806528,0.000806528,0.000806528
46,3564.3,0.61929,0.39929,1.00955,0.99557,1,0.995,0.88117,0.60256,0.26118,0.96778,0.00079238,0.00079238,0.00079238
47,3641.28,0.61639,0.3897,1.0145,0.97754,1,0.995,0.87482,0.60533,0.26444,0.95818,0.000778233,0.000778233,0.000778233
48,3717.17,0.60002,0.37334,0.99753,0.96314,1,0.995,0.88001,0.59056,0.24373,0.9644,0.000764086,0.000764086,0.000764086
49,3792.9,0.59392,0.37302,0.99809,0.99415,1,0.995,0.88317,0.56063,0.23433,0.9375,0.000749939,0.000749939,0.000749939
50,3869.02,0.60058,0.38332,1.00235,0.99529,1,0.995,0.8622,0.6458,0.24795,0.97831,0.000735792,0.000735792,0.000735792
51,3945.12,0.59615,0.36928,1.00736,0.99331,1,0.995,0.87132,0.57371,0.24696,0.94245,0.000721645,0.000721645,0.000721645
52,4021.38,0.59956,0.37799,1.0093,0.99522,1,0.995,0.86807,0.62375,0.26292,0.9602,0.000707498,0.000707498,0.000707498
53,4097.59,0.60018,0.35984,1.00168,0.99547,1,0.995,0.87527,0.58603,0.22745,0.94732,0.000693351,0.000693351,0.000693351
54,4173.25,0.59485,0.3618,1.00267,0.99472,1,0.995,0.87945,0.56666,0.23542,0.93933,0.000679204,0.000679204,0.000679204
55,4248.89,0.5885,0.36879,1.00126,0.99612,1,0.995,0.90113,0.52818,0.2288,0.92205,0.000665057,0.000665057,0.000665057
56,4324.33,0.59691,0.35993,0.99103,0.99577,1,0.995,0.89006,0.57677,0.24128,0.93929,0.000650909,0.000650909,0.000650909
57,4400.36,0.56751,0.34635,0.97881,0.99588,1,0.995,0.89252,0.54131,0.22188,0.93944,0.000636762,0.000636762,0.000636762
58,4476.72,0.57389,0.34766,0.99442,0.99661,1,0.995,0.88534,0.56743,0.22441,0.95982,0.000622615,0.000622615,0.000622615
59,4551.77,0.56678,0.35603,0.98927,0.99681,1,0.995,0.88982,0.52221,0.21557,0.91915,0.000608468,0.000608468,0.000608468
