epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.704,1.22766,1.66442,1.49843,0.83189,0.5209,0.60688,0.3934,1.22981,4.1654,1.65287,0.000471372,0.000471372,0.000471372
2,146.025,1.06692,0.95063,1.31836,0.6786,0.17407,0.22278,0.13388,2.01796,3.5106,2.21073,0.000938323,0.000938323,0.000938323
3,204.933,1.06549,0.88875,1.31658,0.76217,0.65926,0.68409,0.48709,1.16909,1.45881,1.57696,0.00139584,0.00139584,0.00139584
4,265.222,1.02878,0.82895,1.28213,0.81052,0.8,0.81679,0.64728,0.86577,1.25844,1.24687,0.00138656,0.00138656,0.00138656
5,324.624,0.95173,0.72846,1.23822,0.96873,0.97049,0.98781,0.80513,0.81813,0.78402,1.13572,0.00137241,0.00137241,0.00137241
6,383.717,0.95165,0.70432,1.22377,0.96503,0.99457,0.99375,0.8059,0.75323,0.51682,1.11247,0.00135826,0.00135826,0.00135826
7,443.514,0.8952,0.67042,1.19723,0.85603,0.96025,0.96211,0.75046,0.89341,0.62899,1.15113,0.00134412,0.00134412,0.00134412
8,502.505,0.86326,0.64819,1.17357,0.98797,0.94015,0.99109,0.79848,0.77344,0.46337,1.11431,0.00132997,0.00132997,0.00132997
9,561.989,0.90309,0.65729,1.19178,0.965,0.99102,0.995,0.79113,0.80244,0.48975,1.11499,0.00131582,0.00131582,0.00131582
10,620.052,0.83975,0.60501,1.15755,0.97564,1,0.995,0.82833,0.74695,0.46864,1.13204,0.00130168,0.00130168,0.00130168
11,679.179,0.82225,0.59039,1.13846,0.98989,0.99524,0.995,0.79539,0.86497,0.40739,1.1368,0.00128753,0.00128753,0.00128753
12,737.861,0.83457,0.5652,1.14872,0.97423,1,0.995,0.81561,0.69881,0.37809,1.01086,0.00127338,0.00127338,0.00127338
13,797.262,0.79885,0.54593,1.11715,0.98684,0.98835,0.995,0.84065,0.68809,0.35322,1.0085,0.00125923,0.00125923,0.00125923
14,856.767,0.78472,0.52373,1.11206,0.99299,1,0.995,0.74314,0.89461,0.37621,1.17726,0.00124509,0.00124509,0.00124509
15,914.469,0.77759,0.50374,1.10722,0.99079,0.99742,0.995,0.863,0.63653,0.32515,0.98381,0.00123094,0.00123094,0.00123094
16,973.764,0.77235,0.50841,1.10502,0.99499,1,0.995,0.84573,0.66899,0.33836,1.01059,0.00121679,0.00121679,0.00121679
17,1032.87,0.77077,0.52105,1.10301,0.9018,0.93953,0.96832,0.76688,0.85066,0.52301,1.10485,0.00120265,0.00120265,0.00120265
18,1092.04,0.76229,0.50469,1.103,0.99384,1,0.995,0.85235,0.64262,0.3276,1.01259,0.0011885,0.0011885,0.0011885
19,1150.77,0.7274,0.48237,1.06926,0.99305,1,0.995,0.85841,0.60758,0.30318,0.97212,0.00117435,0.00117435,0.00117435
