epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.532,1.3743,2.94187,1.39007,0.00369,1,0.79303,0.57407,0.84969,2.84961,0.96809,0.00046641,0.00046641,0.00046641
2,126.065,0.93198,1.61716,1.09321,0.83387,0.75752,0.84888,0.65761,0.78483,2.13929,0.99136,0.00093341,0.00093341,0.00093341
3,165.874,0.90617,1.27403,1.07639,0.88069,0.83333,0.9657,0.77679,0.80625,1.2856,1.07096,0.00139098,0.00139098,0.00139098
4,206.573,0.89657,1.08359,1.08639,0.93749,0.98148,0.99333,0.77932,0.8818,0.93463,1.04343,0.00138656,0.00138656,0.00138656
5,247.478,0.86133,0.90369,1.06291,0.95265,0.84809,0.97294,0.77478,0.83278,0.77627,1.04198,0.00137241,0.00137241,0.00137241
6,288.616,0.8408,0.77298,1.05595,0.80737,0.88935,0.96707,0.78484,0.79271,0.89195,1.02724,0.00135826,0.00135826,0.00135826
7,327.884,0.8115,0.72046,1.04783,0.95063,0.99822,0.995,0.6744,1.20712,0.61609,1.15886,0.00134412,0.00134412,0.00134412
8,366.749,0.78387,0.67296,1.02548,0.94399,0.91465,0.98864,0.83959,0.69869,0.68828,0.99101,0.00132997,0.00132997,0.00132997
9,405.719,0.79669,0.63985,1.04732,0.94314,1,0.99307,0.85077,0.66207,0.49505,1.0268,0.00131582,0.00131582,0.00131582
10,446.487,0.77143,0.60676,1.03409,0.79818,0.88364,0.8897,0.74287,0.76295,0.86633,1.0595,0.00130168,0.00130168,0.00130168
11,487.197,0.76207,0.57347,1.02408,0.97947,0.98949,0.995,0.84629,0.65483,0.46598,0.97381,0.00128753,0.00128753,0.00128753
12,525.903,0.72608,0.54927,1.01786,0.9719,0.9848,0.995,0.84348,0.68005,0.43345,0.97104,0.00127338,0.00127338,0.00127338
13,564.937,0.73209,0.53406,1.00769,0.99048,1,0.995,0.83679,0.71611,0.40875,0.95939,0.00125923,0.00125923,0.00125923
14,603.567,0.71786,0.52765,1.00069,0.91883,0.91254,0.97876,0.83486,0.67765,0.55532,0.96925,0.00124509,0.00124509,0.00124509
