epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9022,1.47718,2.8718,1.50924,0.73244,0.57403,0.63341,0.44873,0.95609,2.40493,1.22173,0.00046641,0.00046641,0.00046641
2,96.0474,0.98157,0.91221,1.18673,0.60995,0.48628,0.52328,0.34332,1.59695,3.3054,1.59592,0.00093341,0.00093341,0.00093341
3,113.746,0.91887,0.75902,1.15953,0.73148,0.78519,0.85858,0.60362,0.99621,1.54355,1.34501,0.00139098,0.00139098,0.00139098
4,131.602,0.94279,0.76472,1.16532,0.62351,0.6537,0.62846,0.47719,1.19333,2.24902,1.58079,0.00138656,0.00138656,0.00138656
5,149.311,0.90561,0.70965,1.15047,0.96576,0.7963,0.9578,0.79058,0.78012,0.79194,1.14852,0.00137241,0.00137241,0.00137241
6,167.122,0.8843,0.6744,1.13009,0.82906,0.83674,0.84811,0.69292,0.78283,1.06548,1.16722,0.00135826,0.00135826,0.00135826
7,184.958,0.85257,0.64646,1.11538,0.80019,0.9933,0.99375,0.81289,0.72788,0.77656,1.08971,0.00134412,0.00134412,0.00134412
8,202.743,0.83548,0.60137,1.09874,0.99274,1,0.995,0.82597,0.74076,0.43008,1.08327,0.00132997,0.00132997,0.00132997
9,220.575,0.80431,0.5668,1.08008,0.94141,0.96258,0.98989,0.8435,0.65121,0.46862,0.9865,0.00131582,0.00131582,0.00131582
10,238.438,0.7854,0.56411,1.06138,0.84388,0.93016,0.95428,0.78616,0.73215,0.68398,1.0488,0.00130168,0.00130168,0.00130168
11,256.198,0.80585,0.56312,1.08635,0.99425,1,0.995,0.83775,0.68663,0.50085,1.04487,0.00128753,0.00128753,0.00128753
12,273.955,0.782,0.5562,1.07454,0.98647,0.98854,0.995,0.88594,0.59809,0.38476,0.98068,0.00127338,0.00127338,0.00127338
13,291.904,0.7731,0.52137,1.0664,0.98859,0.99593,0.995,0.82232,0.74836,0.39657,1.0507,0.00125923,0.00125923,0.00125923
14,309.678,0.74117,0.52014,1.04846,0.95634,0.92033,0.96443,0.82392,0.67028,0.46664,1.01059,0.00124509,0.00124509,0.00124509
15,327.457,0.73452,0.51266,1.03959,0.89153,1,0.95498,0.78564,0.6933,0.46954,1.03055,0.00123094,0.00123094,0.00123094
16,345.213,0.7152,0.49784,1.03545,0.99478,1,0.995,0.84165,0.67513,0.31583,0.99539,0.00121679,0.00121679,0.00121679
17,363.072,0.71601,0.49111,1.03847,0.99436,1,0.995,0.87697,0.60636,0.32151,1.01608,0.00120265,0.00120265,0.00120265
18,380.867,0.71159,0.48265,1.03939,0.97487,1,0.995,0.85877,0.66816,0.34349,0.98863,0.0011885,0.0011885,0.0011885
19,398.583,0.70691,0.46452,1.03078,0.99465,1,0.995,0.87425,0.60368,0.30485,0.96502,0.00117435,0.00117435,0.00117435
20,416.334,0.6801,0.45353,1.0178,0.98424,1,0.995,0.86374,0.60404,0.30857,0.96054,0.00116021,0.00116021,0.00116021
21,434.049,0.68954,0.46513,1.02101,0.98328,1,0.995,0.83588,0.65147,0.38022,0.99508,0.00114606,0.00114606,0.00114606
22,451.75,0.68146,0.46845,1.01975,0.98156,1,0.995,0.83657,0.73802,0.36387,1.05296,0.00113191,0.00113191,0.00113191
23,469.501,0.65943,0.43917,1.00492,0.99424,1,0.995,0.8635,0.62973,0.34892,0.98978,0.00111776,0.00111776,0.00111776
24,487.311,0.6465,0.4267,0.99616,0.99452,0.98228,0.995,0.86843,0.65564,0.33649,0.9801,0.00110362,0.00110362,0.00110362
25,505.055,0.64621,0.43146,1.00029,0.99603,1,0.995,0.87125,0.63957,0.32257,0.96998,0.00108947,0.00108947,0.00108947
