epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8985,1.38094,2.65267,1.3212,0.83204,0.35706,0.59682,0.43358,0.96285,2.60036,0.96254,0.00046641,0.00046641,0.00046641
2,82.4528,0.9337,1.45989,1.02148,0.89673,0.89134,0.98311,0.78637,0.78643,1.23225,0.93104,0.00093341,0.00093341,0.00093341
3,120.444,0.90631,1.16577,1.01092,0.78417,0.90228,0.96049,0.78221,0.76545,1.03811,0.90147,0.00139098,0.00139098,0.00139098
4,158.003,0.87147,1.00371,1.00148,0.86695,0.98998,0.9773,0.78482,0.78128,0.76124,0.93455,0.00138656,0.00138656,0.00138656
5,194.244,0.84287,0.83483,0.9918,0.99216,1,0.995,0.80216,0.78103,0.46901,0.93085,0.00137241,0.00137241,0.00137241
6,231.116,0.82245,0.74885,0.97973,0.96252,0.97475,0.99375,0.78522,0.79002,0.51724,0.92753,0.00135826,0.00135826,0.00135826
7,268.619,0.83616,0.70034,0.99185,0.79773,0.88989,0.9658,0.77986,0.74039,0.79289,0.90988,0.00134412,0.00134412,0.00134412
8,305.096,0.78541,0.67041,0.97696,0.98079,1,0.995,0.83974,0.66999,0.39747,0.89559,0.00132997,0.00132997,0.00132997
9,341.673,0.77442,0.62593,0.96971,0.97739,0.9622,0.99072,0.85061,0.62137,0.42231,0.87702,0.00131582,0.00131582,0.00131582
10,378.892,0.76147,0.58604,0.96989,0.98932,0.9983,0.995,0.85048,0.64746,0.39292,0.87798,0.00130168,0.00130168,0.00130168
11,415.638,0.76596,0.56974,0.96006,0.9643,0.99327,0.995,0.84963,0.63387,0.41605,0.89716,0.00128753,0.00128753,0.00128753
12,452.036,0.72558,0.53795,0.95466,0.9719,0.99737,0.995,0.85307,0.63029,0.37175,0.87922,0.00127338,0.00127338,0.00127338
13,488.547,0.73169,0.53352,0.9472,0.99312,1,0.995,0.87013,0.56923,0.35509,0.86322,0.00125923,0.00125923,0.00125923
14,525.759,0.70474,0.53802,0.94157,0.95479,0.95556,0.97233,0.83,0.63896,0.46339,0.88712,0.00124509,0.00124509,0.00124509
15,562.627,0.7259,0.52665,0.95318,0.93395,0.95648,0.95401,0.82821,0.61079,0.48366,0.87486,0.00123094,0.00123094,0.00123094
16,599.598,0.71364,0.52063,0.95004,0.99114,1,0.995,0.87096,0.61047,0.3361,0.86803,0.00121679,0.00121679,0.00121679
17,636.436,0.70913,0.50752,0.94763,0.96105,0.97778,0.99375,0.84273,0.66945,0.38908,0.88802,0.00120265,0.00120265,0.00120265
18,673.4,0.69666,0.48983,0.94447,0.98779,0.99832,0.995,0.85747,0.6074,0.34837,0.87215,0.0011885,0.0011885,0.0011885
19,709.863,0.68301,0.48135,0.93178,0.99481,1,0.995,0.82888,0.65726,0.35601,0.87538,0.00117435,0.00117435,0.00117435
20,746.614,0.67748,0.48366,0.92939,0.9912,1,0.995,0.86377,0.63505,0.33502,0.87134,0.00116021,0.00116021,0.00116021
21,782.026,0.6809,0.48573,0.93382,0.99289,1,0.995,0.86479,0.62494,0.33139,0.88138,0.00114606,0.00114606,0.00114606
22,818.092,0.67109,0.46784,0.93077,0.99667,1,0.995,0.83092,0.7231,0.32656,0.89371,0.00113191,0.00113191,0.00113191
23,853.813,0.65945,0.4597,0.92861,0.99407,1,0.995,0.88066,0.58317,0.31007,0.86656,0.00111776,0.00111776,0.00111776
