epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1606,1.43881,2.49988,1.41832,0.82274,0.97459,0.9524,0.70337,0.93169,2.13373,0.97146,0.00046641,0.00046641,0.00046641
2,125.936,0.93749,0.96328,1.04439,0.34994,0.23704,0.18655,0.12143,2.4014,11.0132,2.56286,0.00093341,0.00093341,0.00093341
3,166.43,0.9522,0.85551,1.05781,0.86316,0.89387,0.90916,0.6782,0.89429,1.22197,1.15551,0.00139098,0.00139098,0.00139098
4,209.91,0.96562,0.7849,1.06338,0.49466,0.56503,0.53731,0.39295,0.98063,2.50072,1.03295,0.00138656,0.00138656,0.00138656
5,251.297,0.87595,0.72612,1.03339,0.99371,1,0.995,0.7901,0.76825,0.52751,0.97247,0.00137241,0.00137241,0.00137241
6,292.379,0.85165,0.67234,1.02039,0.99209,1,0.995,0.82887,0.69429,0.45296,0.91847,0.00135826,0.00135826,0.00135826
7,335.463,0.83455,0.62633,1.01243,0.95204,0.97485,0.995,0.78732,0.81151,0.56658,0.93988,0.00134412,0.00134412,0.00134412
8,376.831,0.79688,0.62489,1.004,0.95789,1,0.995,0.8367,0.6446,0.43497,0.89215,0.00132997,0.00132997,0.00132997
9,417.716,0.78526,0.58307,0.99419,0.96615,0.97806,0.995,0.83673,0.70778,0.47498,0.93271,0.00131582,0.00131582,0.00131582
10,459.856,0.75457,0.56476,0.98831,0.97444,0.98875,0.995,0.83557,0.73253,0.4335,0.95618,0.00130168,0.00130168,0.00130168
11,502.888,0.74804,0.54616,0.97675,0.99256,1,0.995,0.86332,0.64104,0.41105,0.91189,0.00128753,0.00128753,0.00128753
12,543.679,0.72689,0.5245,0.97712,0.86973,0.91737,0.91695,0.77092,0.69578,0.71725,0.90673,0.00127338,0.00127338,0.00127338
13,583.597,0.74247,0.53031,0.97692,0.99371,1,0.995,0.84676,0.64856,0.40589,0.90037,0.00125923,0.00125923,0.00125923
14,624.914,0.72721,0.51247,0.97483,0.93344,0.98552,0.98278,0.77593,0.82724,0.43248,0.94722,0.00124509,0.00124509,0.00124509
15,666.91,0.7315,0.52246,0.97676,0.99398,1,0.995,0.85264,0.61359,0.34723,0.89671,0.00123094,0.00123094,0.00123094
16,706.917,0.70775,0.50421,0.97151,0.98197,1,0.995,0.86195,0.65259,0.40353,0.90033,0.00121679,0.00121679,0.00121679
17,747.007,0.71805,0.50712,0.97797,0.99048,1,0.995,0.86758,0.60776,0.34943,0.90431,0.00120265,0.00120265,0.00120265
