epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1116,1.24386,3.14309,1.45944,0.43009,0.47912,0.40783,0.22387,1.59733,3.87063,1.92603,0.00045728,0.00045728,0.00045728
2,31.3597,0.88692,1.15394,1.14107,0.2207,0.29797,0.13746,0.06988,2.39054,7.26463,3.66357,0.000919654,0.000919654,0.000919654
3,44.2538,0.88173,0.98777,1.14023,0.04128,0.14377,0.02218,0.00893,2.88789,5.85148,3.73324,0.00137269,0.00137269,0.00137269
4,57.0469,0.88649,0.93405,1.15445,0.44241,0.26374,0.19888,0.1098,1.53757,9.63712,1.99384,0.00138656,0.00138656,0.00138656
5,69.7584,0.85086,0.84073,1.11845,0.14668,0.39927,0.24923,0.18137,1.20088,8.59362,1.5628,0.00137241,0.00137241,0.00137241
6,82.5403,0.81048,0.80713,1.08647,0.47138,0.52143,0.46535,0.34452,0.90196,2.31736,1.21541,0.00135826,0.00135826,0.00135826
7,95.4002,0.78173,0.77363,1.09035,0.62101,0.60449,0.5388,0.37653,1.10396,2.73567,1.36628,0.00134412,0.00134412,0.00134412
8,108.488,0.7832,0.77154,1.0725,0.81063,0.70647,0.76538,0.57471,0.83944,1.52905,1.12539,0.00132997,0.00132997,0.00132997
9,121.472,0.72747,0.6787,1.0471,0.65653,0.74568,0.78025,0.59477,0.82635,1.16434,1.18441,0.00131582,0.00131582,0.00131582
10,134.453,0.74474,0.66295,1.04583,0.7972,0.62446,0.75595,0.58195,0.82323,1.14011,1.14049,0.00130168,0.00130168,0.00130168
11,147.18,0.7107,0.65935,1.03814,0.90236,0.92751,0.94984,0.77963,0.63513,0.50054,0.97322,0.00128753,0.00128753,0.00128753
12,160.146,0.70581,0.62005,1.03043,0.82692,0.7967,0.85794,0.68711,0.78283,1.05941,1.06938,0.00127338,0.00127338,0.00127338
13,173.023,0.72495,0.64634,1.05474,0.86304,0.86621,0.95391,0.78127,0.6884,0.63729,1.00791,0.00125923,0.00125923,0.00125923
14,185.918,0.70475,0.59107,1.03424,0.93258,0.93297,0.95696,0.79826,0.66431,0.5228,1.0023,0.00124509,0.00124509,0.00124509
15,198.788,0.67438,0.58292,1.01383,0.8733,0.90485,0.91389,0.75796,0.6744,0.54899,1.02181,0.00123094,0.00123094,0.00123094
16,211.581,0.68572,0.56854,1.01775,0.91395,0.88871,0.93942,0.77393,0.67589,0.51099,1.01092,0.00121679,0.00121679,0.00121679
17,224.38,0.67485,0.56976,1.01332,0.97368,0.96366,0.97611,0.82084,0.62395,0.50046,0.97356,0.00120265,0.00120265,0.00120265
18,237.468,0.6584,0.54258,1.00438,0.93919,0.95936,0.96592,0.8062,0.65503,0.41378,1.01057,0.0011885,0.0011885,0.0011885
19,250.265,0.65005,0.54944,1.0014,0.89639,0.95372,0.97155,0.80653,0.62161,0.44914,0.98147,0.00117435,0.00117435,0.00117435
20,263.162,0.65494,0.53386,1.01152,0.96692,0.93724,0.96549,0.81458,0.59082,0.43823,0.96481,0.00116021,0.00116021,0.00116021
21,275.957,0.64134,0.53384,1.00616,0.98042,0.95307,0.97215,0.7896,0.63303,0.39818,0.97556,0.00114606,0.00114606,0.00114606
22,288.827,0.64689,0.52476,1.00339,0.93569,0.98319,0.9861,0.82396,0.6145,0.38727,0.96742,0.00113191,0.00113191,0.00113191
23,301.754,0.63813,0.52351,1.00132,0.96027,0.96277,0.98984,0.81136,0.6793,0.44439,1.05848,0.00111776,0.00111776,0.00111776
24,314.57,0.64069,0.52594,1.00244,0.92576,0.96086,0.97782,0.83025,0.59809,0.37569,0.96361,0.00110362,0.00110362,0.00110362
25,327.467,0.62335,0.5185,0.99592,0.96659,0.97143,0.98549,0.83344,0.59815,0.39809,0.94402,0.00108947,0.00108947,0.00108947
26,340.457,0.6113,0.50739,0.99519,0.94952,0.95293,0.98178,0.80639,0.65205,0.40785,0.9778,0.00107532,0.00107532,0.00107532
27,353.289,0.62962,0.50194,1.00288,0.99796,0.9704,0.99182,0.83649,0.59257,0.32182,0.95144,0.00106118,0.00106118,0.00106118
28,366.373,0.60679,0.49334,0.99566,0.94941,0.95861,0.97005,0.83381,0.57215,0.43191,0.96468,0.00104703,0.00104703,0.00104703
29,379.209,0.62248,0.4726,0.9852,0.95971,0.95172,0.97857,0.82092,0.62375,0.35053,0.97037,0.00103288,0.00103288,0.00103288
30,392.069,0.59554,0.4626,0.9765,0.97007,0.98606,0.98613,0.86591,0.53882,0.33264,0.93073,0.00101873,0.00101873,0.00101873
31,405.129,0.60468,0.47858,0.97991,0.94272,0.93778,0.94284,0.79714,0.56311,0.39268,0.94655,0.00100459,0.00100459,0.00100459
32,417.948,0.61709,0.47534,0.98767,0.9662,0.95894,0.97675,0.85128,0.54968,0.36614,0.94853,0.00099044,0.00099044,0.00099044
33,430.788,0.59873,0.45901,0.98175,0.96418,0.94759,0.98219,0.85611,0.55701,0.33828,0.933,0.000976293,0.000976293,0.000976293
34,443.686,0.6244,0.46821,0.98581,0.96638,0.99048,0.99481,0.86677,0.53699,0.31829,0.92797,0.000962146,0.000962146,0.000962146
35,456.586,0.5854,0.42729,0.96652,0.96839,0.98692,0.99282,0.85436,0.54903,0.31764,0.93716,0.000947999,0.000947999,0.000947999
36,469.465,0.57611,0.43513,0.98033,0.99452,0.9667,0.98787,0.85878,0.5524,0.28519,0.92728,0.000933851,0.000933851,0.000933851
37,482.333,0.59043,0.44305,0.97755,0.99015,0.9748,0.99368,0.85711,0.55201,0.30205,0.93312,0.000919704,0.000919704,0.000919704
38,495.198,0.59503,0.44976,0.96946,0.98322,0.97143,0.99345,0.8429,0.57901,0.29672,0.9337,0.000905557,0.000905557,0.000905557
39,507.979,0.57855,0.43612,0.98055,0.97745,0.97143,0.99145,0.87288,0.51815,0.28925,0.91655,0.00089141,0.00089141,0.00089141
40,520.942,0.586,0.44957,0.97167,0.97068,0.97143,0.99023,0.86439,0.53645,0.31906,0.93169,0.000877263,0.000877263,0.000877263
41,533.716,0.57081,0.4354,0.96537,0.93842,0.92544,0.97957,0.84969,0.51525,0.34845,0.9214,0.000863116,0.000863116,0.000863116
42,546.635,0.58875,0.44925,0.9794,0.99775,0.97231,0.99308,0.8638,0.57071,0.31556,0.94298,0.000848969,0.000848969,0.000848969
43,559.548,0.56739,0.42497,0.96502,0.97387,0.99048,0.99171,0.85843,0.51003,0.30338,0.9165,0.000834822,0.000834822,0.000834822
44,572.383,0.56534,0.40986,0.96119,0.98546,0.97297,0.99096,0.84187,0.56139,0.31006,0.93247,0.000820675,0.000820675,0.000820675
45,585.219,0.58305,0.42732,0.9726,0.97252,0.97959,0.99204,0.86225,0.53432,0.29326,0.9228,0.000806528,0.000806528,0.000806528
46,598.097,0.5691,0.42127,0.9665,0.99542,0.97611,0.99376,0.8745,0.52278,0.28319,0.92579,0.00079238,0.00079238,0.00079238
