epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2429,1.14149,3.22206,1.45987,0.80013,0.59784,0.72272,0.56843,0.86553,3.14289,1.3704,0.00032867,0.00032867,0.00032867
2,52.3372,0.79984,1.0928,1.12956,0.71053,0.06667,0.04559,0.01312,2.02648,15.5286,4.43153,0.000664981,0.000664981,0.000664981
3,72.7815,0.84298,0.94819,1.15927,0.16625,0.17213,0.11054,0.03259,2.45407,5.51077,4.20564,0.000994501,0.000994501,0.000994501
4,92.7731,0.78369,0.81121,1.12125,0.6625,0.295,0.27996,0.11125,1.93399,5.15637,2.69003,0.00131723,0.00131723,0.00131723
5,113.242,0.80928,0.81773,1.13524,0.37849,0.4132,0.34422,0.13368,2.03843,4.03406,3.2109,0.00137241,0.00137241,0.00137241
6,133.454,0.72203,0.71432,1.09215,0.31803,0.27667,0.30903,0.13971,3.09913,5.16212,4.68311,0.00135826,0.00135826,0.00135826
7,155.847,0.74038,0.71071,1.0971,0.60111,0.18,0.18025,0.07995,1.34369,4.77591,1.73382,0.00134412,0.00134412,0.00134412
8,176.708,0.70556,0.65338,1.07153,0.38921,0.6625,0.52567,0.33799,1.33374,2.83814,1.84928,0.00132997,0.00132997,0.00132997
9,197.44,0.71851,0.68498,1.08877,0.59271,0.52508,0.56325,0.33255,1.29621,2.0876,1.69783,0.00131582,0.00131582,0.00131582
10,220.67,0.71668,0.68326,1.09316,0.84313,0.63105,0.73804,0.47469,1.0854,1.41631,1.46102,0.00130168,0.00130168,0.00130168
11,241.487,0.70062,0.66851,1.07481,0.80577,0.83337,0.8988,0.67814,0.9041,0.95146,1.2851,0.00128753,0.00128753,0.00128753
12,262.086,0.69406,0.60015,1.06305,0.6659,0.78418,0.8769,0.73774,0.67459,0.98593,1.19017,0.00127338,0.00127338,0.00127338
13,283.779,0.6731,0.60034,1.05408,0.74043,0.80537,0.82204,0.66206,0.68985,0.94905,1.19803,0.00125923,0.00125923,0.00125923
14,306.145,0.66562,0.57788,1.05745,0.94877,0.86766,0.93781,0.79149,0.6529,0.89528,1.12416,0.00124509,0.00124509,0.00124509
15,326.987,0.66725,0.57183,1.05476,0.9778,0.92941,0.96141,0.80527,0.64288,0.47175,1.12028,0.00123094,0.00123094,0.00123094
16,349.346,0.65804,0.57326,1.05352,0.83607,0.84168,0.92029,0.77724,0.67302,0.70563,1.18681,0.00121679,0.00121679,0.00121679
17,371.803,0.67379,0.57789,1.05813,0.96728,0.87762,0.9495,0.8121,0.62568,0.54023,1.11486,0.00120265,0.00120265,0.00120265
18,393.596,0.64223,0.57937,1.03239,0.94847,0.91989,0.96113,0.76349,0.68724,0.6384,1.15065,0.0011885,0.0011885,0.0011885
19,416.113,0.66512,0.57268,1.04686,0.9091,0.89921,0.95431,0.7931,0.68124,0.62553,1.13964,0.00117435,0.00117435,0.00117435
20,436.313,0.61014,0.5156,1.02021,0.93419,0.95769,0.96723,0.8429,0.58099,0.41671,1.09999,0.00116021,0.00116021,0.00116021
21,457.401,0.62647,0.53693,1.03411,0.95648,0.93966,0.9667,0.82695,0.57893,0.47445,1.05788,0.00114606,0.00114606,0.00114606
22,478.161,0.59648,0.48101,1.01761,0.90372,0.90749,0.96609,0.84246,0.5658,0.48266,1.07063,0.00113191,0.00113191,0.00113191
23,501.995,0.61355,0.50763,1.0212,0.9742,0.93209,0.98138,0.8283,0.61481,0.42311,1.08244,0.00111776,0.00111776,0.00111776
24,524.067,0.64062,0.54211,1.05092,0.97137,0.9525,0.98397,0.86923,0.526,0.39308,1.05701,0.00110362,0.00110362,0.00110362
25,545.879,0.62064,0.5051,1.02307,0.9527,0.96,0.98611,0.84086,0.62099,0.37017,1.09841,0.00108947,0.00108947,0.00108947
26,566.562,0.59918,0.49501,1.01995,0.96649,0.94736,0.96516,0.83065,0.55114,0.40827,1.03514,0.00107532,0.00107532,0.00107532
27,587.024,0.62111,0.48287,1.02805,0.87982,0.93297,0.96765,0.83419,0.55147,0.50905,1.03062,0.00106118,0.00106118,0.00106118
28,606.859,0.59079,0.48058,1.00519,0.94391,0.96,0.9761,0.86674,0.53835,0.34957,1.01727,0.00104703,0.00104703,0.00104703
